data.val_dec_shape	data.train_dec_shape	data.enc_shape	result.val_loss	data.val_enc_shape	data.dec_shape	result.patience	data.test_dec_shape	data.label_counts	data.train_enc_shape	result.test_loss	conf.cell_size	conf.embedding_size	result.val_loss_th	result.epochs_run	result.running_time	conf.cell_type	data.test_enc_shape	result.train_loss
(19789, 118)	(160166, 118)	(200000, 117)	0.26828110218048096	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	0.27510005235671997	512.0	6.0	0.01	142.0	750.937394	GRU	(20045, 117)	0.03530283644795418
(19789, 118)	(160166, 118)	(200000, 117)	0.3947833776473999	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	0.4158944189548493	128.0	27.0	0.01	60.0	76.618984	GRU	(20045, 117)	0.04428008571267128
(19789, 118)	(160166, 118)	(200000, 117)	0.33879354596138	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	0.348591685295105	256.0	13.0	0.01	134.0	306.471057	GRU	(20045, 117)	0.035995613783597946
(19789, 118)	(160166, 118)	(200000, 117)	5.399102687835693	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	5.396020889282227	16.0	5.0	0.01	84.0	33.801864	GRU	(20045, 117)	0.05011119693517685
(19789, 118)	(160166, 118)	(200000, 117)	0.22314780950546265	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	0.22906921803951266	256.0	17.0	0.01	121.0	282.950923	GRU	(20045, 117)	0.03762683644890785
(19789, 118)	(160166, 118)	(200000, 117)	0.1955848187208176	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	0.20103558897972107	128.0	10.0	0.01	78.0	105.900904	LSTM	(20045, 117)	0.04762497171759605
(19789, 118)	(160166, 118)	(200000, 117)	3.378830671310425	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	3.3813400268554688	64.0	23.0	0.01	83.0	67.695865	GRU	(20045, 117)	0.04520296677947045
(19789, 118)	(160166, 118)	(200000, 117)	0.16924364864826202	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	0.17387603223323822	32.0	5.0	0.01	38.0	22.560409	GRU	(20045, 117)	0.07555937767028809
(19789, 118)	(160166, 118)	(200000, 117)	1.369540452957153	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	1.3680977821350098	256.0	5.0	0.01	89.0	248.749669	LSTM	(20045, 117)	0.05032671988010407
(19789, 118)	(160166, 118)	(200000, 117)	0.19676117599010468	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	0.2024940252304077	256.0	23.0	0.01	98.0	286.925566	LSTM	(20045, 117)	0.04498963803052902
(19789, 118)	(160166, 118)	(200000, 117)	0.3838688433170319	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	0.3935384154319763	512.0	9.0	0.01	88.0	473.60095700000005	GRU	(20045, 117)	0.042119063436985016
(19789, 118)	(160166, 118)	(200000, 117)	0.21188008785247808	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	0.21819140017032626	512.0	15.0	0.01	65.0	353.88665699999996	GRU	(20045, 117)	0.0448220893740654
(19789, 118)	(160166, 118)	(200000, 117)	4.019235134124757	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	4.015641212463379	32.0	19.0	0.01	149.0	87.551043	GRU	(20045, 117)	0.02885437570512295
(19789, 118)	(160166, 118)	(200000, 117)	2.8852670192718506	(19789, 117)	(200000, 118)	10.0	(20045, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(160166, 117)	2.88163423538208	32.0	6.0	0.01	80.0	43.370255	GRU	(20045, 117)	0.0486091673374176
(20272, 118)	(159690, 118)	(200000, 117)	1.8214482069015503	(20272, 117)	(200000, 118)	10.0	(20038, 118)	{'E': 1488310, 'PAD': 21354286, 'GO': 200000, 'B': 557404}	(159690, 117)	1.819116711616516	32.0	4.0	0.01	93.0	46.146366	LSTM	(20038, 117)	0.05307677760720253
(19978, 118)	(160041, 118)	(200000, 117)	1.9270710945129401	(19978, 117)	(200000, 118)	10.0	(19981, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(160041, 117)	1.9273673295974727	512.0	11.0	0.01	57.0	397.901932	LSTM	(19981, 117)	0.05338720977306366
(19978, 118)	(160041, 118)	(200000, 117)	2.783414125442505	(19978, 117)	(200000, 118)	10.0	(19981, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(160041, 117)	2.7764980792999268	64.0	28.0	0.01	86.0	75.459979	LSTM	(19981, 117)	0.05124282836914063
(19978, 118)	(160041, 118)	(200000, 117)	2.393839359283448	(19978, 117)	(200000, 118)	10.0	(19981, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(160041, 117)	2.3944406509399414	32.0	26.0	0.01	93.0	56.708636	LSTM	(19981, 117)	0.054150089621543884
(19978, 118)	(160041, 118)	(200000, 117)	2.481685876846313	(19978, 117)	(200000, 118)	10.0	(19981, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(160041, 117)	2.482070207595825	64.0	12.0	0.01	94.0	74.523089	LSTM	(19981, 117)	0.052565857768058784
(20088, 118)	(159647, 118)	(200000, 117)	0.2642975449562073	(20088, 117)	(200000, 118)	10.0	(20265, 118)	{'E': 1488310, 'GO': 200000, 'B': 557404, 'PAD': 21354286}	(159647, 117)	0.2681042850017548	512.0	17.0	0.01	64.0	451.61105499999996	LSTM	(20265, 117)	0.050744958221912384
(20088, 118)	(159647, 118)	(200000, 117)	1.3898791074752808	(20088, 117)	(200000, 118)	10.0	(20265, 118)	{'E': 1488310, 'GO': 200000, 'B': 557404, 'PAD': 21354286}	(159647, 117)	1.3890457153320312	64.0	17.0	0.01	88.0	69.74248	GRU	(20265, 117)	0.040149737149477005
(20088, 118)	(159647, 118)	(200000, 117)	0.17002156376838684	(20088, 117)	(200000, 118)	10.0	(20265, 118)	{'E': 1488310, 'GO': 200000, 'B': 557404, 'PAD': 21354286}	(159647, 117)	0.1704263836145401	128.0	4.0	0.01	66.0	76.190141	GRU	(20265, 117)	0.06355337053537369
(20046, 118)	(160071, 118)	(200000, 117)	0.22151997685432434	(20046, 117)	(200000, 118)	10.0	(19883, 118)	{'E': 1488310, 'B': 557404, 'GO': 200000, 'PAD': 21354286}	(160071, 117)	0.2178666144609452	128.0	7.0	0.01	93.0	104.58875	GRU	(19883, 117)	0.04578736051917076
(20046, 118)	(160071, 118)	(200000, 117)	0.40536317229270935	(20046, 117)	(200000, 118)	10.0	(19883, 118)	{'E': 1488310, 'B': 557404, 'GO': 200000, 'PAD': 21354286}	(160071, 117)	0.41146764159202576	64.0	29.0	0.01	83.0	69.986025	GRU	(19883, 117)	0.042186655104160316
(20046, 118)	(160071, 118)	(200000, 117)	3.3032448291778564	(20046, 117)	(200000, 118)	10.0	(19883, 118)	{'E': 1488310, 'B': 557404, 'GO': 200000, 'PAD': 21354286}	(160071, 117)	3.3042972087860107	32.0	17.0	0.01	122.0	71.61473199999998	GRU	(19883, 117)	0.04277065023779869
(20046, 118)	(160071, 118)	(200000, 117)	3.4725818634033203	(20046, 117)	(200000, 118)	10.0	(19883, 118)	{'E': 1488310, 'B': 557404, 'GO': 200000, 'PAD': 21354286}	(160071, 117)	3.4747958183288574	16.0	21.0	0.01	86.0	44.993691	GRU	(19883, 117)	0.04038017988204956
(20046, 118)	(160071, 118)	(200000, 117)	2.6894195079803467	(20046, 117)	(200000, 118)	10.0	(19883, 118)	{'E': 1488310, 'B': 557404, 'GO': 200000, 'PAD': 21354286}	(160071, 117)	2.682095766067505	64.0	24.0	0.01	69.0	59.11591899999999	LSTM	(19883, 117)	0.05746438726782799
(20023, 118)	(160187, 118)	(200000, 117)	0.27565997838974	(20023, 117)	(200000, 118)	10.0	(19790, 118)	{'PAD': 21354286, 'GO': 200000, 'E': 1488310, 'B': 557404}	(160187, 117)	0.2751268148422241	128.0	22.0	0.01	88.0	107.31031100000001	GRU	(19790, 117)	0.04220644384622574
(20023, 118)	(160187, 118)	(200000, 117)	0.3875243067741394	(20023, 117)	(200000, 118)	10.0	(19790, 118)	{'PAD': 21354286, 'GO': 200000, 'E': 1488310, 'B': 557404}	(160187, 117)	0.3897790908813477	256.0	27.0	0.01	106.0	315.539063	LSTM	(19790, 117)	0.0394122451543808
(20111, 118)	(159733, 118)	(200000, 117)	2.437255620956421	(20111, 117)	(200000, 118)	10.0	(20156, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(159733, 117)	2.438347339630127	64.0	7.0	0.01	94.0	71.110566	LSTM	(20156, 117)	0.053218115121126175
(20111, 118)	(159733, 118)	(200000, 117)	0.15566396713256836	(20111, 117)	(200000, 118)	10.0	(20156, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(159733, 117)	0.15644633769989014	128.0	20.0	0.01	57.0	71.856797	GRU	(20156, 117)	0.04746758192777634
(20111, 118)	(159733, 118)	(200000, 117)	2.037576913833618	(20111, 117)	(200000, 118)	10.0	(20156, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(159733, 117)	2.0387721061706543	128.0	11.0	0.01	101.0	140.40491	LSTM	(20156, 117)	0.05183930695056915
(20111, 118)	(159733, 118)	(200000, 117)	1.0921573638916016	(20111, 117)	(200000, 118)	10.0	(20156, 118)	{'PAD': 21354286, 'GO': 200000, 'B': 557404, 'E': 1488310}	(159733, 117)	1.0893790721893308	128.0	26.0	0.01	86.0	108.57936399999998	GRU	(20156, 117)	0.04330243542790413
(19786, 118)	(160326, 118)	(200000, 117)	2.394611120223999	(19786, 117)	(200000, 118)	10.0	(19888, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(160326, 117)	2.39434552192688	512.0	13.0	0.01	89.0	613.540962	LSTM	(19888, 117)	0.04945661127567291
(19821, 118)	(160211, 118)	(200000, 117)	0.11836352944374084	(19821, 117)	(200000, 118)	10.0	(19968, 118)	{'E': 1488310, 'PAD': 21354286, 'GO': 200000, 'B': 557404}	(160211, 117)	0.11868512630462645	256.0	10.0	0.01	40.0	115.664646	LSTM	(19968, 117)	0.07522769272327423
(19821, 118)	(160211, 118)	(200000, 117)	9.52932834625244	(19821, 117)	(200000, 118)	10.0	(19968, 118)	{'E': 1488310, 'PAD': 21354286, 'GO': 200000, 'B': 557404}	(160211, 117)	9.527024269104004	16.0	20.0	0.01	270.0	128.460179	GRU	(19968, 117)	0.006999557372182608
(20116, 118)	(159871, 118)	(200000, 117)	3.3591365814208984	(20116, 117)	(200000, 118)	10.0	(20013, 118)	{'B': 557404, 'PAD': 21354286, 'GO': 200000, 'E': 1488310}	(159871, 117)	3.370645761489868	16.0	12.0	0.01	67.0	31.576747	GRU	(20013, 117)	0.05888663977384567
(19856, 118)	(160161, 118)	(200000, 117)	0.9193335771560668	(19856, 117)	(200000, 118)	10.0	(19983, 118)	{'GO': 200000, 'E': 1488310, 'B': 557404, 'PAD': 21354286}	(160161, 117)	0.9003012180328369	32.0	21.0	0.01	144.0	86.87884	GRU	(19983, 117)	0.02561340481042862
(19783, 118)	(160144, 118)	(200000, 117)	0.20415209233760834	(19783, 117)	(200000, 118)	10.0	(20073, 118)	{'E': 1488310, 'B': 557404, 'PAD': 21354286, 'GO': 200000}	(160144, 117)	0.2035117894411087	256.0	22.0	0.01	101.0	292.399542	LSTM	(20073, 117)	0.04397686943411827
(19926, 118)	(160289, 118)	(200000, 117)	0.4001836180686951	(19926, 117)	(200000, 118)	10.0	(19785, 118)	{'GO': 200000, 'E': 1488310, 'B': 557404, 'PAD': 21354286}	(160289, 117)	0.3996216058731079	128.0	16.0	0.01	88.0	103.416969	GRU	(19785, 117)	0.04136960208415985
(19926, 118)	(160289, 118)	(200000, 117)	0.17370276153087616	(19926, 117)	(200000, 118)	10.0	(19785, 118)	{'GO': 200000, 'E': 1488310, 'B': 557404, 'PAD': 21354286}	(160289, 117)	0.1730971485376358	128.0	5.0	0.01	120.0	158.235904	LSTM	(19785, 117)	0.044030506163835526
(19874, 118)	(160311, 118)	(200000, 117)	2.743724584579468	(19874, 117)	(200000, 118)	10.0	(19815, 118)	{'B': 557404, 'PAD': 21354286, 'E': 1488310, 'GO': 200000}	(160311, 117)	2.743601083755493	32.0	13.0	0.01	102.0	54.064553000000004	LSTM	(19815, 117)	0.05613382905721664
(19874, 118)	(160311, 118)	(200000, 117)	0.17717480659484866	(19874, 117)	(200000, 118)	10.0	(19815, 118)	{'B': 557404, 'PAD': 21354286, 'E': 1488310, 'GO': 200000}	(160311, 117)	0.17783348262310028	512.0	29.0	0.01	106.0	749.578255	LSTM	(19815, 117)	0.04195199534296989
(19874, 118)	(160311, 118)	(200000, 117)	2.1426942348480225	(19874, 117)	(200000, 118)	10.0	(19815, 118)	{'B': 557404, 'PAD': 21354286, 'E': 1488310, 'GO': 200000}	(160311, 117)	2.139648675918579	16.0	9.0	0.01	123.0	51.15567	GRU	(19815, 117)	0.03515370190143585
(19874, 118)	(160311, 118)	(200000, 117)	2.296962022781372	(19874, 117)	(200000, 118)	10.0	(19815, 118)	{'B': 557404, 'PAD': 21354286, 'E': 1488310, 'GO': 200000}	(160311, 117)	2.296855926513672	512.0	3.0	0.01	97.0	663.102071	LSTM	(19815, 117)	0.05149666592478752
(20053, 118)	(160061, 118)	(200000, 117)	3.8894226551055913	(20053, 117)	(200000, 118)	10.0	(19886, 118)	{'GO': 200000, 'PAD': 21354286, 'B': 557404, 'E': 1488310}	(160061, 117)	3.885032176971436	32.0	25.0	0.01	53.0	33.929709	LSTM	(19886, 117)	0.07242801785469055
(20053, 118)	(160061, 118)	(200000, 117)	0.6780043840408325	(20053, 117)	(200000, 118)	10.0	(19886, 118)	{'GO': 200000, 'PAD': 21354286, 'B': 557404, 'E': 1488310}	(160061, 117)	0.6623047590255737	16.0	12.0	0.01	200.0	84.095738	GRU	(19886, 117)	0.01897695288062096
(20053, 118)	(160061, 118)	(200000, 117)	0.15517154335975647	(20053, 117)	(200000, 118)	10.0	(19886, 118)	{'GO': 200000, 'PAD': 21354286, 'B': 557404, 'E': 1488310}	(160061, 117)	0.15494056046009064	512.0	12.0	0.01	73.0	399.144794	GRU	(19886, 117)	0.035319559276103966
(20200, 118)	(159734, 118)	(200000, 117)	2.8123395442962646	(20200, 117)	(200000, 118)	10.0	(20066, 118)	{'PAD': 21354286, 'E': 1488310, 'GO': 200000, 'B': 557404}	(159734, 117)	2.812587022781372	32.0	24.0	0.01	75.0	45.770966	LSTM	(20066, 117)	0.06264951825141908
(20200, 118)	(159734, 118)	(200000, 117)	0.14092278480529785	(20200, 117)	(200000, 118)	10.0	(20066, 118)	{'PAD': 21354286, 'E': 1488310, 'GO': 200000, 'B': 557404}	(159734, 117)	0.1432914286851883	16.0	1.0	0.01	41.0	18.08751	GRU	(20066, 117)	0.08938733488321304
(20200, 118)	(159734, 118)	(200000, 117)	2.103590965270996	(20200, 117)	(200000, 118)	10.0	(20066, 118)	{'PAD': 21354286, 'E': 1488310, 'GO': 200000, 'B': 557404}	(159734, 117)	2.099729061126709	16.0	24.0	0.01	88.0	47.60217100000001	GRU	(20066, 117)	0.037367749959230416
(20048, 118)	(159684, 118)	(200000, 117)	4.296034812927246	(20048, 117)	(200000, 118)	10.0	(20268, 118)	{'GO': 200000, 'E': 1488310, 'PAD': 21354286, 'B': 557404}	(159684, 117)	4.304272651672363	32.0	16.0	0.01	251.0	139.925167	GRU	(20268, 117)	0.0050770682282745856
(20037, 118)	(159920, 118)	(200000, 117)	0.20437893271446228	(20037, 117)	(200000, 118)	10.0	(20043, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(159920, 117)	0.20539675652980804	64.0	27.0	0.01	58.0	50.736198	GRU	(20043, 117)	0.0519966334104538
(20037, 118)	(159920, 118)	(200000, 117)	0.4668862521648407	(20037, 117)	(200000, 118)	10.0	(20043, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(159920, 117)	0.4689637422561646	16.0	27.0	0.01	26.0	16.318624	LSTM	(20043, 117)	0.11007444560527804
(19933, 118)	(160120, 118)	(200000, 117)	4.0036277770996085	(19933, 117)	(200000, 118)	10.0	(19947, 118)	{'GO': 200000, 'B': 557404, 'PAD': 21354286, 'E': 1488310}	(160120, 117)	3.993180274963379	256.0	28.0	0.01	310.0	739.145952	GRU	(19947, 117)	0.005367483012378216
(19989, 118)	(159861, 118)	(200000, 117)	1.631935477256775	(19989, 117)	(200000, 118)	10.0	(20150, 118)	{'B': 557404, 'E': 1488310, 'GO': 200000, 'PAD': 21354286}	(159861, 117)	1.6330561637878418	128.0	16.0	0.01	87.0	118.89274499999999	LSTM	(20150, 117)	0.05069547891616821
(19989, 118)	(159861, 118)	(200000, 117)	1.5356177091598509	(19989, 117)	(200000, 118)	10.0	(20150, 118)	{'B': 557404, 'E': 1488310, 'GO': 200000, 'PAD': 21354286}	(159861, 117)	1.5358058214187622	64.0	2.0	0.01	83.0	62.222084	LSTM	(20150, 117)	0.06542067974805832
(19914, 118)	(159912, 118)	(200000, 117)	0.5080375671386719	(19914, 117)	(200000, 118)	10.0	(20174, 118)	{'B': 557404, 'GO': 200000, 'PAD': 21354286, 'E': 1488310}	(159912, 117)	0.5042088627815247	32.0	2.0	0.01	130.0	65.498654	GRU	(20174, 117)	0.0337681844830513
(20017, 118)	(160028, 118)	(200000, 117)	0.18998005986213684	(20017, 117)	(200000, 118)	10.0	(19955, 118)	{'E': 1488310, 'B': 557404, 'PAD': 21354286, 'GO': 200000}	(160028, 117)	0.18959207832813266	128.0	24.0	0.01	112.0	159.372934	LSTM	(19955, 117)	0.04457462206482887
(20211, 118)	(159849, 118)	(200000, 117)	3.0873794555664062	(20211, 117)	(200000, 118)	10.0	(19940, 118)	{'PAD': 21354286, 'B': 557404, 'E': 1488310, 'GO': 200000}	(159849, 117)	3.088240385055542	32.0	29.0	0.01	74.0	47.340225	LSTM	(19940, 117)	0.061179827898740775
(20211, 118)	(159849, 118)	(200000, 117)	2.280895233154297	(20211, 117)	(200000, 118)	10.0	(19940, 118)	{'PAD': 21354286, 'B': 557404, 'E': 1488310, 'GO': 200000}	(159849, 117)	2.282111883163452	32.0	7.0	0.01	92.0	50.315717	GRU	(19940, 117)	0.050506211817264564
(20075, 118)	(159914, 118)	(200000, 117)	0.215142160654068	(20075, 117)	(200000, 118)	10.0	(20011, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(159914, 117)	0.2111201137304306	128.0	19.0	0.01	94.0	112.105888	GRU	(20011, 117)	0.04007547348737717
(19775, 118)	(159880, 118)	(200000, 117)	2.4332244396209717	(19775, 117)	(200000, 118)	10.0	(20345, 118)	{'B': 557404, 'GO': 200000, 'PAD': 21354286, 'E': 1488310}	(159880, 117)	2.4335651397705083	32.0	9.0	0.01	71.0	37.264367	LSTM	(20345, 117)	0.06571835279464723
(19775, 118)	(159880, 118)	(200000, 117)	5.521624565124512	(19775, 117)	(200000, 118)	10.0	(20345, 118)	{'B': 557404, 'GO': 200000, 'PAD': 21354286, 'E': 1488310}	(159880, 117)	5.523984909057617	128.0	22.0	0.01	372.0	438.57533499999994	GRU	(20345, 117)	0.001780858263373375
(19991, 118)	(160294, 118)	(200000, 117)	3.806312084197998	(19991, 117)	(200000, 118)	10.0	(19715, 118)	{'GO': 200000, 'B': 557404, 'E': 1488310, 'PAD': 21354286}	(160294, 117)	3.796151876449585	16.0	27.0	0.01	143.0	72.811258	LSTM	(19715, 117)	0.04579761251807213
